Technique,MSE,RMSE,Bias,Variance,MAE,KL_Divergence
additionalvertex_scene_nonee_1011.exr,0.04162698,0.20402691,-0.0006497417,0.041626558,0.012155316,0.00859176927822768
additionalvertex_scene_nonee_1111.exr,0.003582768,0.05985623,-0.0009268331,0.003581909,0.012001977,0.009053108191026584
additionalvertex_scene_nonee_off.exr,0.0005325879,0.023077866,-0.00053044636,0.0005323065,0.012588282,0.00930550126521721
additionalvertex_scene_nonee_1001.exr,0.0014459798,0.038026042,-0.001016499,0.0014449465,0.011993747,0.010969328707040843
additionalvertex_scene_nonee_1101.exr,0.002577334,0.050767448,-0.0009488135,0.0025764336,0.012274819,0.01163288999958425
additionalvertex_scene_nonee_0011.exr,0.010031945,0.1001596,-0.0007856828,0.010031328,0.013711293,0.01735930939275973
additionalvertex_scene_nonee_0111.exr,0.012283218,0.11082968,-0.0006196788,0.012282834,0.014084223,0.018412648708250136
additionalvertex_scene_nonee_0001.exr,0.009034236,0.0950486,-0.0007874586,0.009033616,0.013873088,0.019964156676961355
additionalvertex_scene_nonee_0101.exr,0.0013097288,0.036190175,-0.000994289,0.0013087402,0.013940617,0.021522497634678103
additionalvertex_scene_nonee_1000.exr,0.005318169,0.072925776,-0.0007958855,0.0053175357,0.017349828,0.037036792791865565
additionalvertex_scene_nonee_1010.exr,0.0038068043,0.061699305,-0.00070622354,0.0038063056,0.017909981,0.04026623262208776
additionalvertex_scene_nonee_1100.exr,0.0014897748,0.038597602,-0.0009175802,0.0014889329,0.017737783,0.041123005912851604
additionalvertex_scene_nonee_1110.exr,0.0015756079,0.03969393,-0.0010688129,0.0015744655,0.018141782,0.045255093623208835
additionalvertex_scene_nonee_0000.exr,0.036443625,0.19090213,-0.00035021256,0.0364435,0.018953148,0.049958100276555874
additionalvertex_scene_nonee_0100.exr,0.004624589,0.06800433,-0.0007654833,0.004624003,0.019174533,0.055792069352938206
additionalvertex_scene_nonee_0010.exr,0.0015411774,0.039257832,-0.0011213686,0.0015399199,0.019243505,0.05834864111335021
additionalvertex_scene_nonee_0110.exr,0.0069966665,0.08364608,-0.00047311318,0.0069964426,0.020480929,0.06559408384015095
