spp,repeat,returncode,wall_time_s,mitsuba_time_s,image_path
1,1,0,4.926623548381031,4.019,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0001_rep_001.exr
1,2,0,4.980121904052794,4.06,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0001_rep_002.exr
1,3,0,4.92008559871465,4.03,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0001_rep_003.exr
2,1,0,4.9108658116310835,3.991,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0002_rep_001.exr
2,2,0,4.954246441833675,4.046,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0002_rep_002.exr
2,3,0,4.9473562659695745,4.055,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0002_rep_003.exr
4,1,0,4.969284957274795,4.046,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0004_rep_001.exr
4,2,0,4.922493057325482,4.003,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0004_rep_002.exr
4,3,0,4.890006442554295,3.994,scenes/22_wildcard_asteroids_smallerspotlight/results/ablation_asteroids_spot_ppg/ppg/runs/spp_0004_rep_003.exr
